State/UT,Population_2001_thousands
Andhra Pradesh,76210
Arunachal Pradesh,1091
Assam,26655
Bihar,82999
Chhattisgarh,20800
Goa,1348
Gujarat,50571
Haryana,21144
Himachal Pradesh,6077
Jammu & Kashmir,10144
Jharkhand,26961
Karnataka,52850
Kerala,31838
Madhya Pradesh,60348
Maharashtra,96879
Manipur,2389
Meghalaya,2319
Mizoram,889
Nagaland,1990
Orissa,36805
Punjab,24359
Rajasthan,56507
Sikkim,541
Tamil Nadu,62406
Tripura,3198
Uttar Pradesh,166198
Uttaranchal,8489
West Bengal,80177
Andaman & Nicobar Islands,357
Chandigarh,900
Delhi,13883
Dadra & Nagar Haveli,220
Daman & Diu,101
Lakshadweep,61
Pondicherry,974
