State/UT,Population_1971_thousands
Andhra Pradesh,43503
Assam,14626
Bihar,42127
Gujarat,26697
Haryana,10036
Himachal Pradesh,3460
Jammu & Kashmir,6307
Kerala,21347
Madhya Pradesh,30017
Maharashtra,50412
Manipur,1070
Meghalaya,1012
Mysore (Karnataka),29299
Nagaland,516
Orissa,21944
Punjab,13552
Rajasthan,25739
Tamil Nadu,41199
Tripura,1556
Uttar Pradesh,83850
West Bengal,44312
Andaman & Nicobar Islands,115
Chandigarh,257
Delhi,4066
"Goa, Daman & Diu",795
Lakshadweep,22
Pondicherry,471
